"IB8A";"QW1A";"LU13TRUU";"LU35TRUU";"LU57TRUU";"LU71TRUU";"LU10TRUU";"LU3ATRUU";"LU2ATRUU";"LU1ATRUU";"LUBATRUU";"LUATTRUU";"LUACTRUU"
140.06;140.6488;188.72;207.37;216.11;233.56;274.65;219.11;238.37;236.27;244.98;1403.88;1521.67
140.35;140.882;188.84;207.59;216.38;233.92;275.31;219.37;238.78;236.69;245.38;1406.33;1524.21
140.66;140.9926;188.89;207.56;216.28;233.69;274.25;219.2;238.5;236.4;245.27;1404.14;1522.71
140.71;140.7846;188.83;207.53;216.33;233.78;274.22;219.18;238.37;236.39;245.58;1403.4;1523.55
140.74;140.5586;188.84;207.61;216.5;233.92;274.61;219.24;238.49;236.5;246.35;1403.56;1526.2
140.77;140.5769;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
141.3;141.1267;189.08;208.05;217.04;234.77;277.3;219.9;239.42;237.56;247.54;1409.67;1533
141.63;141.4585;189.43;208.7;217.88;236.13;279.79;220.76;240.67;238.86;248.86;1416.81;1541.41
141.78;141.5851;189.39;208.65;217.85;236.23;280.94;220.78;240.88;239.2;249.46;1418.2;1544.15
141.77;141.5254;189.24;208.2;217.21;235.07;278.97;220.14;240.04;238.24;248.46;1412.63;1538.02
141.85;141.6981;189.26;208.26;217.35;235.29;279.87;220.29;240.3;238.52;248.83;1414.39;1540.17
142.3;142.2119;#N/A;208.49;217.72;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1418.12;1544.61
142.62;142.5322;189.24;208.26;217.43;235.75;280.58;220.44;240.52;238.73;249.03;1415.76;1541.4
142.51;142.4812;189.17;208.18;217.3;235.33;279.79;220.28;240.2;238.32;248.44;1413.94;1538.45
142.38;142.3403;188.95;207.77;216.7;234.26;277.47;219.63;239.29;237.32;247.35;1408.22;1531.71
142.19;142.0567;189;207.69;216.57;233.91;276.2;219.45;238.95;236.93;246.85;1406.02;1528.98
142.08;141.8802;189.01;207.6;216.4;233.58;274.64;219.23;238.53;236.43;246.27;1403.32;1525.6
141.53;141.1808;188.98;207.64;216.47;233.81;274.9;219.3;238.57;236.57;246.41;1403.73;1526.57
141.18;140.932;189.08;207.83;216.75;234.36;276.41;219.64;239.15;237.13;247.11;1406.89;1530.46
141.5;141.2914;189.07;207.82;216.73;234.28;276.53;219.62;239.13;237.14;247.2;1406.63;1530.65
141.51;141.2474;189.1;207.82;216.71;234.12;276.02;219.57;239;236.97;246.94;1405.52;1529.32
142.26;141.9791;189.18;208.1;217.16;234.84;277.71;220.01;239.61;237.66;247.76;1409.35;1534.03
142.89;142.6176;189.49;208.68;217.96;236.24;280.4;220.84;240.81;239.01;249.23;1416.85;1542.96
142.84;142.4934;189.47;208.57;217.8;236;280.17;220.7;240.7;238.88;249.05;1416.07;1541.88
142.88;142.6138;189.58;208.81;218.09;236.49;281.45;221.04;241.22;239.44;249.6;1419.32;1545.47
143.17;142.9184;189.67;208.9;218.2;236.7;282.29;221.2;241.52;239.78;249.94;1421.23;1547.6
142.81;142.4675;189.51;208.61;217.8;236;280.64;220.75;240.85;239.06;249.19;1416.67;1542.86
142.81;142.3411;189.47;208.52;217.69;235.75;279.98;220.59;240.63;238.86;248.96;1415.23;1541.49
143.15;142.7044;189.51;208.75;218.04;236.31;281.5;220.93;241.12;239.37;249.82;1418.31;1545.57
142.99;142.4992;189.24;208.25;217.33;235.1;278.87;220.19;240.04;238.14;248.55;1411.51;1537.75
142.87;142.3506;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
142.59;142.0238;189.17;207.97;216.89;234.26;277.08;219.73;239.36;237.36;247.7;1407.38;1532.81
142.57;141.9334;189.26;208.18;217.22;234.75;278.13;220.04;239.79;237.85;248.2;1409.9;1536.05
142.88;142.2635;189.42;208.38;217.47;235.09;278.89;220.31;240.15;238.24;248.57;1412.43;1538.42
142.92;142.2431;189.23;208.09;217.1;234.4;277.15;219.87;239.43;237.45;247.77;1407.66;1533.25
142.65;141.913;189.25;208.18;217.26;234.62;277.94;220.01;239.68;237.75;248.21;1408.82;1535.55
142.67;141.8902;189.19;208;216.96;234.11;276.91;219.7;239.26;237.36;247.92;1406.11;1533.14
142.46;141.6451;189.17;207.96;216.91;233.95;276.51;219.61;239.12;237.22;247.76;1404.93;1532.29
142.29;141.4529;189.17;207.92;216.87;233.82;276.16;219.53;238.99;237.1;247.84;1403.86;1532.06
142.27;141.4197;189.15;207.95;216.94;233.95;276.57;219.6;239;237.19;248.02;1404.45;1532.84
142.55;141.7162;189.14;207.81;216.72;233.55;275.04;219.34;238.59;236.65;247.52;1401.55;1529.53
142.29;141.5013;189.21;207.98;216.94;233.89;275.95;219.57;238.94;237.07;247.88;1403.65;1532.18
142.19;141.4244;189.21;208.08;217.15;234.22;277.07;219.78;239.24;237.47;248.28;1405.61;1534.67
142.29;141.4783;189.03;207.49;216.25;232.76;273.92;218.88;238.08;236.15;246.95;1398.36;1526.24
142.77;141.9813;189.15;207.79;216.7;233.45;275.62;219.33;238.68;236.88;247.77;1402.06;1531.11
142.98;142.2015;189.13;207.7;216.55;233.22;275.14;219.17;238.5;236.72;247.63;1400.82;1530.09
142.7;141.961;189.14;207.74;216.63;233.38;275.38;219.25;238.61;236.84;247.76;1401.23;1530.99
142.85;142.1193;189.05;207.6;216.49;233.16;275;219.09;238.36;236.61;247.64;1399.71;1529.66
142.8;142.0589;189.16;207.92;216.99;234.05;277.31;219.6;239.16;237.56;248.85;1404.35;1536.39
142.72;141.9898;189.03;207.52;216.36;232.99;275.25;218.98;238.26;236.58;247.97;1399.08;1530.31
142.3;141.5533;188.97;207.35;216.1;232.53;274.27;218.71;237.89;236.15;247.56;1396.93;1527.65
142.11;141.3704;188.96;207.31;216.07;232.38;273.49;218.61;237.71;235.91;247.24;1395.69;1526.05
142.21;141.4827;189.08;207.55;216.37;232.86;274.55;218.95;238.11;236.32;247.72;1398.47;1528.72
142.2;141.4868;189.05;207.43;216.23;232.64;273.97;218.8;237.88;236.11;247.37;1397.19;1526.95
141.77;141.0676;188.84;206.92;215.58;231.61;272.09;218.15;237;235.16;246.14;1392.19;1520.21
141.88;141.1716;188.76;206.75;215.44;231.39;271.68;217.99;236.79;234.96;245.85;1390.86;1518.84
141.83;141.151;188.86;206.93;215.66;231.71;272.34;218.22;237.03;235.26;246.21;1392.62;1520.91
142.04;141.3364;188.91;207.05;215.8;231.88;272.3;218.33;237.11;235.34;246.32;1392.89;1521.38
142.11;141.37;189.06;207.43;216.33;232.72;273.92;218.87;237.81;236.13;247.15;1397.03;1526.4
142.54;141.7685;189.23;207.86;216.92;233.71;276.49;219.53;238.69;237.22;248.32;1402.79;1533.42
142.8;142.0247;189.19;207.67;216.62;233.29;275.71;219.26;238.4;236.84;247.89;1400.9;1530.76
143.18;142.3638;189.34;207.98;217.01;233.88;276.94;219.67;238.99;237.47;248.56;1404.39;1534.76
143.17;142.3434;189.27;207.73;216.64;233.26;275.55;219.27;238.45;236.85;247.99;1401.35;1530.96
143.47;142.6449;189.44;208.11;217.16;234.1;277.16;219.8;239.18;237.69;248.86;1405.67;1536.31
143.46;142.6112;189.43;208.11;217.18;234.16;277.28;219.81;239.24;237.77;248.96;1405.82;1536.9
143.55;142.7025;189.51;208.2;217.22;234.2;277.32;219.87;239.3;237.86;249.1;1406.28;1537.51
143.72;142.8684;189.61;208.36;217.42;234.49;277.88;220.05;239.65;238.23;249.56;1407.68;1540.11
143.72;142.8892;189.61;208.4;217.49;234.64;278.32;220.15;239.69;238.35;249.73;1408.6;1540.86
143.9;143.0763;189.63;208.49;217.68;234.96;279.32;220.36;239.97;238.72;250.08;1410.33;1543.04
143.84;143.0175;189.48;208.24;217.42;234.56;278.71;220.08;239.59;238.35;249.68;1407.91;1540.44
143.91;143.1016;189.55;208.35;217.54;234.73;279.27;220.23;239.83;238.55;249.86;1409.45;1541.63
143.9;143.0988;189.91;208.96;218.18;235.73;281.1;220.94;240.83;239.62;250.89;1415.65;1548.37
144.26;143.4671;190.25;209.53;218.75;236.68;282.7;221.62;241.79;240.54;251.66;1421.3;1553.73
144.57;143.8924;190.6;209.92;219.08;236.89;281.94;221.91;241.96;240.5;251.5;1422.67;1553.29
144.58;143.8994;190.59;209.84;218.96;236.68;281.43;221.8;241.73;240.34;251.14;1421.81;1551.5
144.73;144.0521;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
144.54;143.8391;190.48;209.55;218.6;236.06;280.04;221.39;241.19;239.73;250.62;1418.63;1547.82
144.4;143.6497;190.34;209.28;218.19;235.34;278.03;220.93;240.53;238.94;249.74;1414.39;1542.76
144.67;143.9157;190.31;209.26;218.24;235.43;278.12;220.94;240.55;238.95;249.82;1414.18;1542.94
144.82;144.0779;190.33;209.33;218.35;235.68;278.8;221.07;240.78;239.22;250.15;1415.35;1544.72
144.29;143.4347;190.28;209.21;218.13;235.26;277.68;220.84;240.35;238.71;249.72;1412.71;1541.7
144.56;143.6591;190.42;209.46;218.44;235.73;278.42;221.13;240.81;239.16;250.21;1415.23;1544.77
144.61;143.7221;190.39;209.32;218.24;235.38;277.6;220.93;240.52;238.83;249.82;1413.21;1542.5
144.44;143.5633;190.34;209.2;217.95;234.83;275.8;220.64;239.94;238.06;248.93;1410.07;1537.49
144.14;143.257;190.16;208.88;217.5;234.14;274.52;220.19;239.35;237.42;248.22;1406.54;1533.32
144.56;143.72;190.34;209.1;217.75;234.45;274.83;220.44;239.64;237.68;248.41;1408.25;1534.85
144.59;143.7859;190.18;208.92;217.64;234.41;275.46;220.37;239.59;237.73;248.43;1408.14;1534.94
145.04;144.3356;190.3;209.19;218.04;235.13;277.12;220.79;240.25;238.48;249.22;1411.87;1539.68
145.05;144.324;190.37;209.28;218.16;235.3;277.3;220.92;240.43;238.62;249.18;1412.98;1540.28
144.76;144.0439;190.15;208.85;217.6;234.39;275.66;220.34;239.62;237.78;248.31;1408.09;1534.9
144.29;143.4825;190.08;208.68;217.35;233.92;274.54;220.06;239.2;237.32;247.88;1405.46;1532.21
144.29;143.468;190.02;208.6;217.27;233.81;274.37;219.97;239.11;237.24;247.73;1404.74;1531.59
144.25;143.4855;190.03;208.74;217.52;234.29;275.96;220.27;239.54;237.75;248.31;1407.4;1534.9
144.03;143.3292;189.96;208.59;217.32;233.97;275.06;220.05;239.16;237.37;247.95;1405.33;1532.41
144.1;143.3826;189.8;208.28;216.9;233.38;274.12;219.67;238.67;236.71;247.42;1402.44;1528.65
143.79;143.0435;189.72;208;216.5;232.71;272.56;219.22;238.1;236.05;246.68;1399.08;1524.4
143.92;143.1968;189.74;208.06;216.57;232.78;273.01;219.3;238.23;236.21;246.89;1399.95;1525.65
143.97;143.2749;189.79;208.15;216.71;233;273.63;219.46;238.45;236.48;247.09;1401.24;1527.28
143.87;143.16;189.86;208.21;216.73;232.98;273.35;219.5;238.45;236.42;246.8;1401.28;1526.75
143.8;143.1464;189.89;208.23;216.8;233.11;273.77;219.59;238.51;236.53;247.04;1401.89;1527.47
143.96;143.3402;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
143.73;143.0829;189.89;208.13;216.66;232.89;273.31;219.46;238.34;236.34;246.73;1401.05;1525.93
143.5;142.8633;189.81;207.83;216.23;232.23;271.29;219.01;237.71;235.54;245.53;1397.18;1520.28
143.08;142.4282;189.8;207.67;215.93;231.81;269.78;218.74;237.27;234.88;244.63;1394.98;1515.87
143.08;142.4458;189.72;207.55;215.78;231.66;269.54;218.63;237.08;234.66;244.26;1394.13;1514.22
143.02;142.3965;189.78;207.65;215.86;231.71;269.72;218.69;237.12;234.74;244.7;1394.32;1515.32
143.09;142.4422;189.84;207.81;216.04;231.9;270.04;218.82;237.31;234.98;245.15;1395.13;1517.2
143.37;142.6992;189.92;207.95;216.22;232.13;270.32;218.99;237.49;235.16;245.35;1396.25;1518.32
143.09;142.4272;189.89;207.94;216.22;232.13;270.6;218.97;237.55;235.29;245.54;1396.52;1519.28
143.53;142.936;190.06;208.36;216.79;232.97;272.67;219.57;238.4;236.23;246.63;1401.31;1525.53
